filename,firstDir,relativePath,sizeBytes,modDate,modTime
"settings_database.g.dart","database","database/settings_database.g.dart",68389,"251228","092116"
"settings_database.dart","database","database/settings_database.dart",9778,"251229","054400"
"scratch_interpreter.dart","tutorial","tutorial/interpreter/scratch_interpreter.dart",4602,"251213","204835"
"tutorial.dart","tutorial","tutorial/tutorial.dart",579,"251210","083129"
"tutorial_provider.dart","tutorial","tutorial/providers/tutorial_provider.dart",8784,"251213","204835"
"scratch_command.dart","tutorial","tutorial/models/scratch_command.dart",1755,"251214","220224"
"tutorial_state.dart","tutorial","tutorial/models/tutorial_state.dart",3235,"251214","220224"
"tutorial_context.dart","tutorial","tutorial/models/tutorial_context.dart",2481,"251213","204835"
"tutorial_script.dart","tutorial","tutorial/models/tutorial_script.dart",3078,"251214","220224"
"yaml_parser.dart","tutorial","tutorial/parser/yaml_parser.dart",7089,"251210","083129"
"highlight_commands.dart","tutorial","tutorial/commands/highlight_commands.dart",6012,"251213","204835"
"translate_command.dart","tutorial","tutorial/commands/translate_command.dart",8235,"251210","083129"
"selection_commands.dart","tutorial","tutorial/commands/selection_commands.dart",4418,"251210","083129"
"highlight_isometry_icon.dart","tutorial","tutorial/commands/highlight_isometry_icon.dart",2821,"251210","083129"
"message_commands.dart","tutorial","tutorial/commands/message_commands.dart",1589,"251210","083129"
"commands.dart","tutorial","tutorial/commands/commands.dart",599,"251222","042209"
"board_selection_commands.dart","tutorial","tutorial/commands/board_selection_commands.dart",2960,"251210","083129"
"tutorial_mode_commands.dart","tutorial","tutorial/commands/tutorial_mode_commands.dart",2032,"251210","083129"
"control_commands.dart","tutorial","tutorial/commands/control_commands.dart",2168,"251210","083129"
"placement_commands.dart","tutorial","tutorial/commands/placement_commands.dart",1619,"251210","083129"
"transform_commands.dart","tutorial","tutorial/commands/transform_commands.dart",4978,"251214","220224"
"highlighted_icon_button.dart","tutorial","tutorial/widgets/highlighted_icon_button.dart",2123,"251210","083129"
"tutorial_overlay.dart","tutorial","tutorial/widgets/tutorial_overlay.dart",4712,"251210","083129"
"tutorial_controls.dart","tutorial","tutorial/widgets/tutorial_controls.dart",6088,"251210","083129"
"bootstrap.dart","bootstrap.dart","bootstrap.dart",60,"251210","083129"
"piece_difficulty.dart","pentoscope","pentoscope/piece_difficulty.dart",888,"251216","155557"
"pentoscope_generator.dart","pentoscope","pentoscope/pentoscope_generator.dart",5980,"251229","055743"
"pentoscope_menu_screen.dart","pentoscope","pentoscope/screens/pentoscope_menu_screen.dart",8112,"251224","052157"
"pentoscope_game_screen.dart","pentoscope","pentoscope/screens/pentoscope_game_screen.dart",13444,"251224","073320"
"pentoscope_provider.dart","pentoscope","pentoscope/pentoscope_provider.dart",34899,"251226","112841"
"pentoscope_board.dart","pentoscope","pentoscope/widgets/pentoscope_board.dart",23718,"251224","215553"
"pentoscope_piece_slider.dart","pentoscope","pentoscope/widgets/pentoscope_piece_slider.dart",4646,"251224","072739"
"pentoscope_solver.dart","pentoscope","pentoscope/pentoscope_solver.dart",6958,"251216","160015"
"game_icons_config.dart","config","config/game_icons_config.dart",5127,"251215","105449"
"build_info.dart","config","config/build_info.dart",1381,"251228","153417"
"settings_provider.dart","providers","providers/settings_provider.dart",9521,"251210","083129"
"time_format.dart","utils","utils/time_format.dart",371,"251210","083129"
"piece_utils.dart","utils","utils/piece_utils.dart",5884,"251213","204835"
"pentomino_geometry.dart","utils","utils/pentomino_geometry.dart",3436,"251213","204835"
