relative_path,line_number,import_path
"database/settings_database.dart",6,"dart:io"
"pentoscope/pentoscope_generator.dart",6,"dart:math"
"pentoscope/pentoscope_provider.dart",4,"dart:math"
"pentoscope/widgets/pentoscope_piece_slider.dart",8,"dart:math"
"pentoscope/pentoscope_solver.dart",5,"dart:async"
"providers/settings_provider.dart",5,"dart:convert"
"utils/pentomino_geometry.dart",4,"dart:ui"
"utils/solution_exporter.dart",6,"dart:io"
"classical/pentomino_game_provider.dart",5,"dart:async"
"screens/pentomino_game/widgets/shared/draggable_piece_widget.dart",4,"dart:async"
"duel/providers/duel_provider.dart",4,"dart:async"
"duel/providers/duel_provider.dart",5,"dart:convert"
"duel/models/duel_messages.dart",5,"dart:convert"
"duel/services/websocket_service.dart",4,"dart:async"
"data/solution_database.dart",9,"dart:typed_data"
"services/pentapol_solutions_loader.dart",4,"dart:typed_data"
